provider,external_id,title,brand,price,image_url,product_url,category,garment_description
hepsiburada,HBCV00008NG76F,Erkek İndigo Comfort Fit Bisiklet Yaka Tişört,Pierre Cardin,549.00,https://productimages.hepsiburada.net/s/777/375/110001011977594.jpg/format:webp,https://www.hepsiburada.com/pierre-cardin-erkek-indigo-comfort-fit-bisiklet-yaka-tisort-50310076-vr028-p-HBCV00008NG76F,upper_body,Pierre Cardin Erkek İndigo Comfort Fit Bisiklet Yaka Tişört
hepsiburada,HBCV00006JDCY7,Firfirlı Transparan Şifon Pareo,XCLSV,379.00,https://productimages.hepsiburada.net/s/777/375/110000861702039.jpg/format:webp,https://www.hepsiburada.com/xclsv-orme-sifondan-firfirli-transparan-pareo-p-HBCV00006JDCY7,lower_body,XCLSV Firfirlı Transparan Şifon Pareo
hepsiburada,HBCV0000FG17PA,Kahverengi ve Siyah Tül Pareo 2'li Set,Tarzını Seç,329.00,https://productimages.hepsiburada.net/s/777/375/110001806516421.jpg/format:webp,https://www.hepsiburada.com/tarzini-sec-esnek-likrali-uzun-kahverengi-ve-siyah-tul-pareo-2-li-set-150x95-p-HBCV0000FG17PA,lower_body,Tarzını Seç Kahverengi ve Siyah Tül Pareo 2'li Set
hepsiburada,HBCV0000CYITMK,Slogan Baskılı Basic Beyaz T-Shirt,LTB,399.00,https://productimages.hepsiburada.net/s/777/375/110001532517187.jpg/format:webp,https://www.hepsiburada.com/ltb-slogan-baskili-basic-beyaz-t-shirt-p-HBCV0000CYITMK,upper_body,LTB Slogan Baskılı Basic Beyaz T-Shirt
trendyol,822488656,Erkek Gri Keten Relaxed Fit Pantolon,AVVA,1099.00,https://cdn.dsmcdn.com/ty1945/prod/QC_ENRICHMENT/20260818/18/4476c8ae-f29a-3f53-b438-28dddb02a3c9/1_org_zoom.jpg,https://www.trendyol.com/avva/erkek-gri-beli-lastikli-100-keten-relaxed-fit-pantolon-b003032-p-822488656,lower_body,AVVA Erkek Gri Keten Relaxed Fit Pantolon
trendyol,1149754938,Erkek Kahverengi Polo Yaka Tişört,Tudors,599.00,https://cdn.dsmcdn.com/ty1000410/product/media/images/prod/PIM/20260618/14/4315895d-6a5c-47c4-9ab9-936ffbec6db4/1_org_zoom.jpg,https://www.trendyol.com/tudors/erkek-slim-fit-dar-kesim-soft-modal-kumas-kisa-kollu-yarim-fermuarli-kahverengi-polo-yaka-tisort-p-1149754938,upper_body,Tudors Erkek Kahverengi Polo Yaka Tişört
trendyol,929681071,Gri Çizgili Kruvaze Takım Elbise,DS Damat,2499.00,https://cdn.dsmcdn.com/ty1737/prod/QC_ENRICHMENT/20250828/15/8932a8d8-e1d6-3af3-8e93-c8389c8502c1/1_org_zoom.jpg,https://www.trendyol.com/d-s-damat/ds-damat-regular-fit-gri-cizgili-kruvaze-takim-elbise-p-929681071,upper_body,DS Damat Gri Çizgili Kruvaze Takım Elbise
trendyol,1173071782,Kahverengi Drapeli Çiçek Aksesuarlı Midi Elbise,West Club,1299.00,https://cdn.dsmcdn.com/ty1929/prod/QC_PREP/20260718/20/86a5b14d-009f-39ad-bf1d-e28d0013700f/1_org_zoom.jpg,https://www.trendyol.com/west-club/kadin-kahverengi-drapeli-cicek-aksesuarli-midi-elbise-p-1173071782,dresses,West Club Kahverengi Drapeli Çiçek Aksesuarlı Midi Elbise
trendyol,940829373,Kare Yaka Askılı Tişört,Stradivarius,449.00,https://cdn.dsmcdn.com/ty1861/prod/QC_ENRICHMENT/20260427/16/0922dc5a-da3a-3840-9e44-d3da15d6ad90/1_org_zoom.jpg,https://www.trendyol.com/stradivarius/kare-yaka-askili-tisort-p-940829373,upper_body,Stradivarius Kare Yaka Askılı Tişört
trendyol,670154023,Keten Karışımlı Bol Kesim Pantolon,Stradivarius,899.00,https://cdn.dsmcdn.com/ty1930/prod/QC_ENRICHMENT/20260702/14/59461eec-4262-3a3c-87f0-efc5dc63daa7/1_org_zoom.jpg,https://www.trendyol.com/stradivarius/keten-karisimli-bol-kesim-pantolon-p-670154023,lower_body,Stradivarius Keten Karışımlı Bol Kesim Pantolon
